"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_DZWCG_mich2001helmet0_SouthAfrica","Tactical Helmet (South Africa)","Tactical Helmet (South Africa)","Taktická přilba (Jihoafrická republika)","Taktischer Helm (Südafrika)","Тактический шлем (Южная Африка)","Hełm taktyczny (Południowa Afryka)","Tactical Helmet (Dél-Afrika)","Elmetto tattico (Sudafrica)","Casco táctico (Sudáfrica)","Casque tactique (Afrique du Sud)","戰術頭盔 (南非)","戦術的ヘルメット (南アフリカ)","Capacete tático (África do Sul)","战术头盔 (南非)",
"STR_DZWCG_mich2001helmet0_SouthKorea","Tactical Helmet (South Korea)","Tactical Helmet (South Korea)","Taktická přilba (Jižní Korea)","Taktischer Helm (Südkorea)","Тактический шлем (Южная Корея)","Hełm taktyczny (Korea Południowa)","Tactical Helmet (Dél-Korea)","Elmetto tattico (Corea del Sud)","Casco táctico (Corea del Sur)","Casque tactique (Corée du Sud)","戰術頭盔 (韓國)","戦術的ヘルメット (韓国)","Capacete tático (Coreia do Sul)","战术头盔 (韩国)",
"STR_DZWCG_mich2001helmet0_Sweden","Tactical Helmet (Sweden)","Tactical Helmet (Sweden)","Taktická přilba (Švédsko)","Taktischer Helm (Schweden)","Тактический шлем (Швеция)","Hełm taktyczny (Szwecja)","Tactical Helmet (Svédország)","Elmetto tattico (Svezia)","Casco táctico (Suecia)","Casque tactique (Suède)","戰術頭盔 (瑞典)","戦術的ヘルメット (スウェーデン)","Capacete tático (Suécia)","战术头盔 (瑞典)",
"STR_DZWCG_mich2001helmet0_Wales","Tactical Helmet (Wales)","Tactical Helmet (Wales)","Taktická přilba (Wales)","Taktischer Helm (Wales)","Тактический шлем (Уэльс)","Hełm taktyczny (Walia)","Tactical Helmet (Wales)","Elmetto tattico (Galles)","Casco táctico (Gales)","Casque tactique (Pays de Galles)","戰術頭盔 (威爾斯)","戦術的ヘルメット (ウェールズ)","Capacete tático (País de Gales)","战术头盔 (威尔士)",
"STR_DZWCG_platecarrierblank0_USA","Plate Carrier (USA)","Plate Carrier (USA)","Nosič plátů (USA)","Plattenweste (USA)","Бронежилет (США)","Kamizelka wzmacniana (USA)","Plate Carrier (USA)","Giubbotto con piastre (USA)","Chaleco antibalas reforzado (Estados Unidos)","Gilet porte-plaques (États-Unis)","抗彈板攜行背心 (美國)","プレートキャリア (アメリカ)","Colete portaplacas (Estados Unidos)","硬板承载 (美国)",
"STR_DZWCG_platecarrierblank0_Brazil","Plate Carrier (Brazil)","Plate Carrier (Brazil)","Nosič plátů (Brazílie)","Plattenweste (Brasilien)","Бронежилет (Бразилия)","Kamizelka wzmacniana (Brazylia)","Plate Carrier (Brazília)","Giubbotto con piastre (Brasile)","Chaleco antibalas reforzado (Brasil)","Gilet porte-plaques (Brésil)","抗彈板攜行背心 (巴西)","プレートキャリア (ブラジル)","Colete portaplacas (Brasil)","硬板承载 (巴西)",
"STR_DZWCG_platecarrierblank0_Canada","Plate Carrier (Canada)","Plate Carrier (Canada)","Nosič plátů (Kanada)","Plattenweste (Kanada)","Бронежилет (Канада)","Kamizelka wzmacniana (Kanada)","Plate Carrier (Kanada)","Giubbotto con piastre (Canada)","Chaleco antibalas reforzado (Canadá)","Gilet porte-plaques (Canada)","抗彈板攜行背心 (加拿大)","プレートキャリア (カナダ)","Colete portaplacas (Canadá)","硬板承载 (加拿大)",
"STR_DZWCG_platecarrierblank0_Denmark","Plate Carrier (Denmark)","Plate Carrier (Denmark)","Nosič plátů (Dánsko)","Plattenweste (Dänemark)","Бронежилет (Дания)","Kamizelka wzmacniana (Dania)","Plate Carrier (Dánia)","Giubbotto con piastre (Danimarca)","Chaleco antibalas reforzado (Dinamarca)","Gilet porte-plaques (Danemark)","抗彈板攜行背心 (丹麥)","プレートキャリア (デンマーク)","Colete portaplacas (Dinamarca)","硬板承载 (丹麦)",
"STR_DZWCG_platecarrierblank0_England","Plate Carrier (England)","Plate Carrier (England)","Nosič plátů (Anglie)","Plattenweste (England)","Бронежилет (Англия)","Kamizelka wzmacniana (Anglia)","Plate Carrier (Anglia)","Giubbotto con piastre (Inghilterra)","Chaleco antibalas reforzado (Inglaterra)","Gilet porte-plaques (Angleterre)","抗彈板攜行背心 (英格蘭)","プレートキャリア (イングランド)","Colete portaplacas (Inglaterra)","硬板承载 (英格兰)",
"STR_DZWCG_platecarrierblank0_France","Plate Carrier (France)","Plate Carrier (France)","Nosič plátů (Francie)","Plattenweste (Frankreich)","Бронежилет (Франция)","Kamizelka wzmacniana (Francja)","Plate Carrier (Franciaország)","Giubbotto con piastre (Francia)","Chaleco antibalas reforzado (Francia)","Gilet porte-plaques (France)","抗彈板攜行背心 (法國)","プレートキャリア (フランス)","Colete portaplacas (França)","硬板承载 (法国)",
"STR_DZWCG_platecarrierblank0_Ireland","Plate Carrier (Ireland)","Plate Carrier (Ireland)","Nosič plátů (Irsko)","Plattenweste (Irland)","Бронежилет (Ирландия)","Kamizelka wzmacniana (Irlandia)","Plate Carrier (Írország)","Giubbotto con piastre (Irlanda)","Chaleco antibalas reforzado (Irlanda)","Gilet porte-plaques (Irlande)","抗彈板攜行背心 (愛爾蘭)","プレートキャリア (アイルランド)","Colete portaplacas (Irlanda)","硬板承载 (爱尔兰)",
"STR_DZWCG_platecarrierblank0_Italy","Plate Carrier (Italy)","Plate Carrier (Italy)","Nosič plátů (Itálie)","Plattenweste (Italien)","Бронежилет (Италия)","Kamizelka wzmacniana (Włochy)","Plate Carrier (Olaszország)","Giubbotto con piastre (Italia)","Chaleco antibalas reforzado (Italia)","Gilet porte-plaques (Italie)","抗彈板攜行背心 (義大利)","プレートキャリア (イタリア)","Colete portaplacas (Itália)","硬板承载 (意大利)",
"STR_DZWCG_platecarrierblank0_Portugal","Plate Carrier (Portugal)","Plate Carrier (Portugal)","Nosič plátů (Portugalsko)","Plattenweste (Portugal)","Бронежилет (Португалия)","Kamizelka wzmacniana (Portugalia)","Plate Carrier (Portugália)","Giubbotto con piastre (Portogallo)","Chaleco antibalas reforzado (Portugal)","Gilet porte-plaques (Portugal)","抗彈板攜行背心 (葡萄牙)","プレートキャリア (ポルトガル)","Colete portaplacas (Portugal)","硬板承载 (葡萄牙)",
"STR_DZWCG_platecarrierblank0_Scotland","Plate Carrier (Scotland)","Plate Carrier (Scotland)","Nosič plátů (Skotsko)","Plattenweste (Schottland)","Бронежилет (Шотландия)","Kamizelka wzmacniana (Szkocja)","Plate Carrier (Skócia)","Giubbotto con piastre (Scozia)","Chaleco antibalas reforzado (Escocia)","Gilet porte-plaques (Écosse)","抗彈板攜行背心 (蘇格蘭)","プレートキャリア (スコットランド)","Colete portaplacas (Escócia)","硬板承载 (苏格兰)",
"STR_DZWCG_platecarrierblank0_SouthAfrica","Plate Carrier (South Africa)","Plate Carrier (South Africa)","Nosič plátů (Jihoafrická republika)","Plattenweste (Südafrika)","Бронежилет (Южная Африка)","Kamizelka wzmacniana (Południowa Afryka)","Plate Carrier (Dél-Afrika)","Giubbotto con piastre (Sudafrica)","Chaleco antibalas reforzado (Sudáfrica)","Gilet porte-plaques (Afrique du Sud)","抗彈板攜行背心 (南非)","プレートキャリア (南アフリカ)","Colete portaplacas (África do Sul)","硬板承载 (南非)",
"STR_DZWCG_platecarrierblank0_SouthKorea","Plate Carrier (South Korea)","Plate Carrier (South Korea)","Nosič plátů (Jižní Korea)","Plattenweste (Südkorea)","Бронежилет (Южная Корея)","Kamizelka wzmacniana (Korea Południowa)","Plate Carrier (Dél-Korea)","Giubbotto con piastre (Corea del Sud)","Chaleco antibalas reforzado (Corea del Sur)","Gilet porte-plaques (Corée du Sud)","抗彈板攜行背心 (韓國)","プレートキャリア (韓国)","Colete portaplacas (Coreia do Sul)","硬板承载 (韩国)",
"STR_DZWCG_platecarrierblank0_Sweden","Plate Carrier (Sweden)","Plate Carrier (Sweden)","Nosič plátů (Švédsko)","Plattenweste (Schweden)","Бронежилет (Швеция)","Kamizelka wzmacniana (Szwecja)","Plate Carrier (Svédország)","Giubbotto con piastre (Svezia)","Chaleco antibalas reforzado (Suecia)","Gilet porte-plaques (Suède)","抗彈板攜行背心 (瑞典)","プレートキャリア (スウェーデン)","Colete portaplacas (Suécia)","硬板承载 (瑞典)",
"STR_DZWCG_platecarrierblank0_Wales","Plate Carrier (Wales)","Plate Carrier (Wales)","Nosič plátů (Wales)","Plattenweste (Wales)","Бронежилет (Уэльс)","Kamizelka wzmacniana (Walia)","Plate Carrier (Wales)","Giubbotto con piastre (Galles)","Chaleco antibalas reforzado (Gales)","Gilet porte-plaques (Pays de Galles)","抗彈板攜行背心 (威爾斯)","プレートキャリア (ウェールズ)","Colete portaplacas (País de Gales)","硬板承载 (威尔士)",
"STR_DZWCG_carrierpouches0_USA","Pouches (USA)","Pouches (USA)","Sumky (USA)","Taschen (USA)","Съемные карманы (США)","Kieszenie (USA)","Pouches (USA)","Sacchette (USA)","Bolsas (Estados Unidos)","Étuis (États-Unis)","小袋 (美國)","ポーチ (アメリカ)","Bolsas (Estados Unidos)","小袋 (美国)",
"STR_DZWCG_carrierpouches0_Brazil","Pouches (Brazil)","Pouches (Brazil)","Sumky (Brazílie)","Taschen (Brasilien)","Съемные карманы (Бразилия)","Kieszenie (Brazylia)","Pouches (Brazília)","Sacchette (Brasile)","Bolsas (Brasil)","Étuis (Brésil)","小袋 (巴西)","ポーチ (ブラジル)","Bolsas (Brasil)","小袋 (巴西)",
"STR_DZWCG_carrierpouches0_Canada","Pouches (Canada)","Pouches (Canada)","Sumky (Kanada)","Taschen (Kanada)","Съемные карманы (Канада)","Kieszenie (Kanada)","Pouches (Kanada)","Sacchette (Canada)","Bolsas (Canadá)","Étuis (Canada)","小袋 (加拿大)","ポーチ (カナダ)","Bolsas (Canadá)","小袋 (加拿大)",
"STR_DZWCG_carrierpouches0_Denmark","Pouches (Denmark)","Pouches (Denmark)","Sumky (Dánsko)","Taschen (Dänemark)","Съемные карманы (Дания)","Kieszenie (Dania)","Pouches (Dánia)","Sacchette (Danimarca)","Bolsas (Dinamarca)","Étuis (Danemark)","小袋 (丹麥)","ポーチ (デンマーク)","Bolsas (Dinamarca)","小袋 (丹麦)",
"STR_DZWCG_carrierpouches0_England","Pouches (England)","Pouches (England)","Sumky (Anglie)","Taschen (England)","Съемные карманы (Англия)","Kieszenie (Anglia)","Pouches (Anglia)","Sacchette (Inghilterra)","Bolsas (Inglaterra)","Étuis (Angleterre)","小袋 (英格蘭)","ポーチ (イングランド)","Bolsas (Inglaterra)","小袋 (英格兰)",
"STR_DZWCG_carrierpouches0_France","Pouches (France)","Pouches (France)","Sumky (Francie)","Taschen (Frankreich)","Съемные карманы (Франция)","Kieszenie (Francja)","Pouches (Franciaország)","Sacchette (Francia)","Bolsas (Francia)","Étuis (France)","小袋 (法國)","ポーチ (フランス)","Bolsas (França)","小袋 (法国)",
"STR_DZWCG_carrierpouches0_Ireland","Pouches (Ireland)","Pouches (Ireland)","Sumky (Irsko)","Taschen (Irland)","Съемные карманы (Ирландия)","Kieszenie (Irlandia)","Pouches (Írország)","Sacchette (Irlanda)","Bolsas (Irlanda)","Étuis (Irlande)","小袋 (愛爾蘭)","ポーチ (アイルランド)","Bolsas (Irlanda)","小袋 (爱尔兰)",
"STR_DZWCG_carrierpouches0_Italy","Pouches (Italy)","Pouches (Italy)","Sumky (Itálie)","Taschen (Italien)","Съемные карманы (Италия)","Kieszenie (Włochy)","Pouches (Olaszország)","Sacchette (Italia)","Bolsas (Italia)","Étuis (Italie)","小袋 (義大利)","ポーチ (イタリア)","Bolsas (Itália)","小袋 (意大利)",
"STR_DZWCG_carrierpouches0_Portugal","Pouches (Portugal)","Pouches (Portugal)","Sumky (Portugalsko)","Taschen (Portugal)","Съемные карманы (Португалия)","Kieszenie (Portugalia)","Pouches (Portugália)","Sacchette (Portogallo)","Bolsas (Portugal)","Étuis (Portugal)","小袋 (葡萄牙)","ポーチ (ポルトガル)","Bolsas (Portugal)","小袋 (葡萄牙)",
"STR_DZWCG_carrierpouches0_Scotland","Pouches (Scotland)","Pouches (Scotland)","Sumky (Skotsko)","Taschen (Schottland)","Съемные карманы (Шотландия)","Kieszenie (Szkocja)","Pouches (Skócia)","Sacchette (Scozia)","Bolsas (Escocia)","Étuis (Écosse)","小袋 (蘇格蘭)","ポーチ (スコットランド)","Bolsas (Escócia)","小袋 (苏格兰)",
"STR_DZWCG_carrierpouches0_SouthAfrica","Pouches (South Africa)","Pouches (South Africa)","Sumky (Jihoafrická republika)","Taschen (Südafrika)","Съемные карманы (Южная Африка)","Kieszenie (Południowa Afryka)","Pouches (Dél-Afrika)","Sacchette (Sudafrica)","Bolsas (Sudáfrica)","Étuis (Afrique du Sud)","小袋 (南非)","ポーチ (南アフリカ)","Bolsas (África do Sul)","小袋 (南非)",
"STR_DZWCG_carrierpouches0_SouthKorea","Pouches (South Korea)","Pouches (South Korea)","Sumky (Jižní Korea)","Taschen (Südkorea)","Съемные карманы (Южная Корея)","Kieszenie (Korea Południowa)","Pouches (Dél-Korea)","Sacchette (Corea del Sud)","Bolsas (Corea del Sur)","Étuis (Corée du Sud)","小袋 (韓國)","ポーチ (韓国)","Bolsas (Coreia do Sul)","小袋 (韩国)",
"STR_DZWCG_carrierpouches0_Sweden","Pouches (Sweden)","Pouches (Sweden)","Sumky (Švédsko)","Taschen (Schweden)","Съемные карманы (Швеция)","Kieszenie (Szwecja)","Pouches (Svédország)","Sacchette (Svezia)","Bolsas (Suecia)","Étuis (Suède)","小袋 (瑞典)","ポーチ (スウェーデン)","Bolsas (Suécia)","小袋 (瑞典)",
"STR_DZWCG_carrierpouches0_Wales","Pouches (Wales)","Pouches (Wales)","Sumky (Wales)","Taschen (Wales)","Съемные карманы (Уэльс)","Kieszenie (Walia)","Pouches (Wales)","Sacchette (Galles)","Bolsas (Gales)","Étuis (Pays de Galles)","小袋 (威爾斯)","ポーチ (ウェールズ)","Bolsas (País de Gales)","小袋 (威尔士)",
"STR_DZWCG_tshirt","DayZ World Cup Shirt","DayZ World Cup Shirt","Tričko DayZ Světového poháru","DayZ-Weltcup-T-Shirt","Футболка DayZ Кубка мира","Koszulka Pucharu Świata DayZ","DayZ világkupa póló","Maglietta DayZ Coppa del Mondo","Camiseta DayZ Copa del Mundo","T-shirt Coupe du monde DayZ","DayZ 世界盃T恤","DayZワールドカップTシャツ","Camiseta DayZ Copa do Mundo","DayZ 世界杯T恤",
